Station,City,Date,Weed,Grass,Tree
"The Asthma & Allergy Center","Asheville, NC","Jan","0","0",".5"
"The Asthma & Allergy Center","Asheville, NC","Feb","0","0","4.4"
"The Asthma & Allergy Center","Asheville, NC","Mar","0","0","7.6"
"The Asthma & Allergy Center","Asheville, NC","Apr","0","0","8.8"
"The Asthma & Allergy Center","Asheville, NC","May","0",".5","6.1"
"The Asthma & Allergy Center","Asheville, NC","June","1.2","1.5",".2"
"The Asthma & Allergy Center","Asheville, NC","July","1.4","1.9","0"
"The Asthma & Allergy Center","Asheville, NC","Aug","5.2","1","0"
"The Asthma & Allergy Center","Asheville, NC","Sep","4","1.5","0"
"The Asthma & Allergy Center","Asheville, NC","Oct","2.5",".5","0"
"The Asthma & Allergy Center","Asheville, NC","Nov","1.1","0","0"
"The Asthma & Allergy Center","Asheville, NC","Dec","0","0",".4"